TEAM,SEASON,W_PCT,FG_PCT,FG3_PCT,FT_PCT,PTS,REB,AST,TOV,STL,BLK,Playoff Result,Season Rank
Phoenix Suns,2014-15,0.476,0.452,0.341,0.76,104.2,43.9,20.6,15.4,8.7,4.8,25.0,20
Phoenix Suns,2015-16,0.28,0.435,0.348,0.751,101.5,45.1,20.9,17.3,7.8,3.8,25.0,28
Phoenix Suns,2016-17,0.293,0.45,0.332,0.776,106.1,44.3,19.3,15.2,8.1,4.8,25.0,30
Phoenix Suns,2017-18,0.256,0.442,0.334,0.741,102.8,43.6,21.0,15.5,6.9,4.5,25.0,30
Phoenix Suns,2018-19,0.232,0.459,0.329,0.779,105.3,39.6,23.4,15.3,8.8,5.0,25.0,30
Phoenix Suns,2019-20,0.466,0.468,0.358,0.834,111.3,42.7,26.7,14.5,7.5,3.9,25.0,20
Phoenix Suns,2020-21,0.708,0.49,0.378,0.834,116.3,43.3,27.2,12.6,7.2,4.4,2.0,4
Portland Trail Blazers,2011-12,0.424,0.443,0.346,0.796,104.4,43.7,22.0,15.2,8.6,5.2,25.0,22
Portland Trail Blazers,2012-13,0.402,0.448,0.353,0.776,104.5,43.8,23.3,15.7,7.0,4.6,25.0,22
Portland Trail Blazers,2013-14,0.659,0.45,0.372,0.815,110.4,48.0,24.0,14.2,5.7,4.9,6.5,10
Portland Trail Blazers,2014-15,0.622,0.45,0.362,0.801,107.1,47.8,22.9,14.2,6.7,4.7,12.5,8
Portland Trail Blazers,2015-16,0.537,0.45,0.37,0.754,107.6,46.6,21.8,15.0,7.0,4.7,6.5,10
Portland Trail Blazers,2016-17,0.5,0.459,0.375,0.78,109.4,44.3,21.4,13.9,7.1,5.0,12.5,16
Portland Trail Blazers,2017-18,0.598,0.452,0.366,0.8,108.4,46.6,20.0,13.9,7.2,5.3,12.5,6
Portland Trail Blazers,2018-19,0.646,0.467,0.359,0.814,113.7,47.6,22.8,13.7,6.6,5.0,3.5,6
Portland Trail Blazers,2019-20,0.473,0.463,0.377,0.804,113.2,44.6,20.3,12.6,6.2,6.0,12.5,16
Portland Trail Blazers,2020-21,0.583,0.453,0.385,0.823,117.1,44.9,21.5,11.2,6.9,5.1,12.5,12
Sacramento Kings,2011-12,0.333,0.436,0.316,0.736,102.9,44.7,20.1,15.0,8.9,5.1,25.0,28
Sacramento Kings,2012-13,0.341,0.447,0.363,0.769,105.3,42.6,21.9,15.4,8.6,4.4,25.0,26
Sacramento Kings,2013-14,0.341,0.447,0.333,0.759,105.1,46.5,19.7,15.9,7.5,4.1,25.0,26
Sacramento Kings,2014-15,0.354,0.455,0.341,0.762,104.5,45.6,21.0,16.8,6.9,4.1,25.0,26
Sacramento Kings,2015-16,0.402,0.464,0.359,0.725,105.3,43.7,24.2,16.0,8.8,4.4,25.0,20
Sacramento Kings,2016-17,0.39,0.461,0.376,0.775,106.6,42.6,23.3,15.2,7.9,4.1,25.0,24
Sacramento Kings,2017-18,0.329,0.45,0.375,0.735,103.1,42.7,22.5,14.3,8.2,4.3,25.0,24
Sacramento Kings,2018-19,0.476,0.464,0.378,0.726,109.6,43.6,24.4,12.8,7.9,4.2,25.0,18
Sacramento Kings,2019-20,0.431,0.462,0.364,0.77,109.5,42.4,23.7,14.4,7.7,4.0,25.0,24
Sacramento Kings,2020-21,0.431,0.481,0.364,0.745,112.7,41.0,25.3,13.3,7.5,4.9,25.0,24
San Antonio Spurs,2011-12,0.758,0.478,0.393,0.748,110.0,45.6,24.6,14.4,7.9,4.7,3.5,2
San Antonio Spurs,2012-13,0.707,0.481,0.376,0.791,107.0,42.9,26.1,15.3,8.8,5.7,2.0,4
San Antonio Spurs,2013-14,0.756,0.486,0.397,0.785,109.5,45.0,26.2,15.0,7.7,5.3,1.0,2
San Antonio Spurs,2014-15,0.671,0.468,0.367,0.78,107.6,45.5,25.4,14.6,8.4,5.6,12.5,12
San Antonio Spurs,2015-16,0.817,0.484,0.375,0.803,109.3,46.4,25.9,13.8,8.7,6.2,6.5,4
San Antonio Spurs,2016-17,0.744,0.469,0.391,0.797,110.3,45.9,24.9,14.1,8.4,6.2,3.5,4
San Antonio Spurs,2017-18,0.573,0.457,0.352,0.772,107.1,46.1,23.7,13.7,8.0,5.8,12.5,14
San Antonio Spurs,2018-19,0.585,0.478,0.392,0.819,112.2,44.9,24.7,12.2,6.1,4.7,12.5,14
San Antonio Spurs,2019-20,0.451,0.472,0.376,0.81,111.7,43.7,24.2,12.3,7.1,5.4,25.0,22
San Antonio Spurs,2020-21,0.458,0.462,0.35,0.792,110.5,43.6,24.3,11.3,7.0,5.1,25.0,20
Toronto Raptors,2011-12,0.348,0.44,0.34,0.77,99.6,46.1,23.0,16.7,7.1,5.3,25.0,22
Toronto Raptors,2012-13,0.415,0.446,0.343,0.788,105.0,43.4,23.3,14.8,7.8,5.2,25.0,20
Toronto Raptors,2013-14,0.585,0.445,0.372,0.782,107.9,45.3,22.6,15.1,7.5,4.5,12.5,6
Toronto Raptors,2014-15,0.598,0.455,0.352,0.787,110.2,44.0,22.0,13.7,7.9,4.6,12.5,8
Toronto Raptors,2015-16,0.683,0.451,0.37,0.777,109.3,46.2,19.9,13.9,8.3,5.8,3.5,4
Toronto Raptors,2016-17,0.622,0.464,0.363,0.796,111.4,45.1,19.3,13.2,8.6,5.1,6.5,6
Toronto Raptors,2017-18,0.72,0.472,0.358,0.794,113.0,44.5,24.6,13.5,7.7,6.2,6.5,2
Toronto Raptors,2018-19,0.707,0.474,0.366,0.804,112.6,44.5,25.0,13.8,8.2,5.2,1.0,4
Toronto Raptors,2019-20,0.736,0.458,0.374,0.796,110.8,44.6,24.8,14.6,8.7,4.9,6.5,4
Toronto Raptors,2020-21,0.375,0.448,0.368,0.815,111.6,41.7,24.2,13.3,8.6,5.4,25.0,24
Utah Jazz,2011-12,0.545,0.456,0.323,0.754,105.5,46.8,23.1,15.0,8.7,6.2,12.5,16
Utah Jazz,2012-13,0.524,0.454,0.366,0.764,105.4,45.2,24.4,15.9,9.0,6.8,25.0,18
Utah Jazz,2013-14,0.305,0.444,0.344,0.747,102.4,44.5,21.9,15.8,7.5,4.8,25.0,30
Utah Jazz,2014-15,0.463,0.447,0.343,0.721,104.2,48.2,21.8,16.8,8.3,6.5,25.0,22
Utah Jazz,2015-16,0.488,0.449,0.355,0.744,105.0,46.5,20.4,16.1,8.3,5.6,25.0,18
Utah Jazz,2016-17,0.622,0.466,0.372,0.747,109.0,46.8,21.8,14.8,7.3,5.4,6.5,10
Utah Jazz,2017-18,0.585,0.462,0.366,0.779,107.4,44.6,23.1,15.2,8.9,5.3,6.5,10
Utah Jazz,2018-19,0.61,0.468,0.356,0.736,110.3,45.8,25.7,14.9,8.0,5.8,12.5,10
Utah Jazz,2019-20,0.611,0.471,0.38,0.779,111.8,45.1,22.5,15.2,6.1,4.1,12.5,12
Utah Jazz,2020-21,0.722,0.468,0.389,0.799,116.5,48.3,23.7,14.2,6.6,5.2,6.5,2
Washington Wizards,2011-12,0.303,0.441,0.32,0.727,100.0,44.5,20.4,16.3,8.5,6.7,25.0,28
Washington Wizards,2012-13,0.354,0.435,0.365,0.733,99.3,46.0,23.1,16.1,7.8,4.9,25.0,24
Washington Wizards,2013-14,0.537,0.459,0.38,0.731,104.9,43.9,24.3,15.3,8.5,4.8,6.5,10
Washington Wizards,2014-15,0.561,0.462,0.36,0.742,103.0,46.7,25.1,15.7,7.7,4.8,6.5,10
Washington Wizards,2015-16,0.5,0.46,0.358,0.73,104.5,42.0,24.6,14.5,8.7,4.0,25.0,20
Washington Wizards,2016-17,0.598,0.475,0.372,0.784,110.4,43.3,24.1,14.3,8.5,4.1,6.5,8
Washington Wizards,2017-18,0.524,0.467,0.375,0.772,108.1,43.7,25.5,14.8,8.0,4.4,12.5,16
Washington Wizards,2018-19,0.39,0.468,0.341,0.768,110.2,40.9,25.4,13.6,8.0,4.5,25.0,22
Washington Wizards,2019-20,0.347,0.457,0.368,0.788,110.2,40.5,24.1,13.6,7.7,4.1,25.0,18
Washington Wizards,2020-21,0.472,0.475,0.351,0.769,110.7,42.9,24.2,13.7,7.0,3.9,12.5,16
